PLAYER NAME,TEAM,POS,Age,G,GS,PassYds,PassTD,Int,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,RecTD,FL,TD,PPR,VBD
Patrick Mahomes,KAN,QB,23,16,16,318.6,3.13,0.75,3.75,17.0,4.53,0.13,0.0,0.0,0.0,0.0,0.13,0.13,26.1,8.38
Saquon Barkley,NYG,RB,21,16,16,0.0,0.0,0.0,16.3,81.7,5.01,0.69,7.56,5.69,45.1,0.25,0.0,0.94,24.1,9.94
Christian McCaffrey,CAR,RB,22,16,16,3.13,0.06,0.0,13.7,68.6,5.01,0.44,7.75,6.69,54.2,0.38,0.06,0.81,24.1,8.94
Todd Gurley,LAR,RB,24,14,14,0.0,0.0,0.0,18.3,89.4,4.89,1.21,5.79,4.21,41.4,0.29,0.07,1.5,26.6,12.7
Matt Ryan,ATL,QB,33,16,16,307.8,2.19,0.44,2.06,7.81,3.79,0.19,0.06,0.06,0.31,0.06,0.31,0.25,22.2,4.44
Alvin Kamara,NOR,RB,23,15,13,0.0,0.0,0.0,12.9,58.9,4.55,0.93,7.0,5.4,47.3,0.27,0.0,1.2,23.6,9.2
Ben Roethlisberger,PIT,QB,36,16,16,320.6,2.13,1.0,1.94,6.13,3.16,0.19,0.06,0.06,-0.06,0.0,0.13,0.19,21.4,3.63
Tyreek Hill,KAN,WR,24,16,16,0.0,0.0,0.0,1.38,9.44,6.86,0.06,8.56,5.44,92.4,0.75,0.0,0.88,20.9,8.19
DeAndre Hopkins,HOU,WR,26,16,16,0.0,0.0,0.0,0.06,-0.44,-7.0,0.0,10.2,7.19,98.3,0.69,0.13,0.69,20.8,6.38
Deshaun Watson,HOU,QB,23,16,16,260.3,1.63,0.56,6.19,34.4,5.57,0.31,0.0,0.0,0.0,0.0,0.19,0.31,20.7,3.06
Davante Adams,GNB,WR,26,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,11.3,7.4,92.4,0.87,0.0,0.87,22.0,6.8
Ezekiel Elliott,DAL,RB,23,15,15,0.0,0.0,0.0,20.3,95.6,4.72,0.4,6.33,5.13,37.8,0.2,0.07,0.6,21.9,7.8
Andrew Luck,IND,QB,29,16,16,287.1,2.44,0.94,2.88,9.25,3.22,0.0,0.13,0.06,0.25,0.0,0.06,0.0,20.5,2.75
Julio Jones,ATL,WR,29,16,16,0.0,0.0,0.0,0.13,0.75,6.0,0.0,10.6,7.06,104.8,0.5,0.13,0.5,20.4,6.06
Antonio Brown,PIT,WR,30,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,11.2,6.93,86.5,1.0,0.0,1.0,21.6,6.87
Michael Thomas,NOR,WR,25,16,16,0.0,0.0,0.0,0.0,0.0,,0.0,9.19,7.81,87.8,0.56,0.13,0.56,19.7,4.63
Aaron Rodgers,GNB,QB,35,16,16,277.6,1.56,0.13,2.69,16.8,6.26,0.13,0.0,0.0,0.0,0.0,0.19,0.13,19.5,1.88
Jared Goff,LAR,QB,24,16,16,293.0,2.0,0.75,2.69,6.75,2.51,0.13,0.0,0.0,0.0,0.0,0.31,0.13,19.4,1.75
Adam Thielen,MIN,WR,28,16,16,0.0,0.0,0.0,0.31,1.88,6.0,0.0,9.56,7.06,85.8,0.56,0.06,0.56,19.2,4.88
Drew Brees,NOR,QB,39,15,15,266.1,2.13,0.33,2.07,1.47,0.71,0.27,0.07,0.07,0.07,0.0,0.07,0.27,20.3,1.4
Russell Wilson,SEA,QB,30,16,16,215.5,2.19,0.44,4.19,23.5,5.61,0.0,0.06,0.06,-0.69,0.0,0.13,0.0,18.7,1.0
JuJu Smith-Schuster,PIT,WR,22,16,13,0.0,0.0,0.0,0.06,0.81,13.0,0.0,10.4,6.94,89.1,0.44,0.06,0.44,18.6,4.38
Travis Kelce,KAN,TE,29,16,16,0.0,0.0,0.0,0.0,0.0,,0.0,9.38,6.44,83.5,0.63,0.06,0.63,18.4,6.81
Mike Evans,TAM,WR,25,16,16,0.0,0.0,0.0,0.0,0.0,,0.0,8.63,5.38,95.3,0.5,0.06,0.56,18.1,5.5
Dak Prescott,DAL,QB,25,16,16,242.8,1.38,0.5,4.69,19.1,4.07,0.38,0.06,0.0,0.0,0.0,0.38,0.38,17.9,0.19
Philip Rivers,LAC,QB,37,16,16,269.3,2.0,0.75,1.13,0.44,0.39,0.0,0.0,0.0,0.0,0.0,0.06,0.0,17.8,0.13
Kirk Cousins,MIN,QB,30,16,16,268.6,1.88,0.63,2.75,7.69,2.8,0.06,0.06,0.06,-0.06,0.0,0.44,0.06,17.7,
Cam Newton,CAR,QB,29,14,14,242.5,1.71,0.93,7.21,34.9,4.83,0.29,0.0,0.0,0.0,0.0,0.0,0.29,20.2,
Tom Brady,NWE,QB,41,16,16,272.2,1.81,0.69,1.44,2.19,1.52,0.13,0.06,0.06,0.38,0.0,0.13,0.13,17.6,
Zach Ertz,PHI,TE,28,16,16,0.0,0.0,0.0,0.0,0.0,,0.0,9.75,7.25,72.7,0.5,0.0,0.5,17.5,5.06
James Conner,PIT,RB,23,13,12,0.0,0.0,0.0,16.5,74.8,4.53,0.92,5.46,4.23,38.2,0.08,0.15,1.0,21.5,6.92
James White,NWE,RB,26,16,3,0.0,0.0,0.0,5.88,26.6,4.52,0.31,7.69,5.44,46.9,0.44,0.0,0.75,17.3,3.38
Melvin Gordon,LAC,RB,25,12,12,0.0,0.0,0.0,14.6,73.8,5.06,0.83,5.5,4.17,40.8,0.33,0.0,1.17,23.0,7.5
Stefon Diggs,MIN,WR,25,15,14,0.0,0.0,0.0,0.67,4.13,6.2,0.0,9.93,6.8,68.1,0.6,0.0,0.6,17.8,3.2
Robert Woods,LAR,WR,26,16,16,0.0,0.0,0.0,1.19,9.81,8.26,0.06,8.13,5.38,76.2,0.38,0.0,0.44,16.6,3.94
Mitchell Trubisky,CHI,QB,24,14,14,230.2,1.71,0.86,4.86,30.1,6.19,0.21,0.0,0.0,0.0,0.0,0.21,0.21,18.8,
Keenan Allen,LAC,WR,26,16,14,0.0,0.0,0.0,0.56,4.69,8.33,0.0,8.5,6.06,74.8,0.38,0.06,0.38,16.3,2.94
George Kittle,SFO,TE,25,16,16,0.0,0.0,0.0,0.06,0.63,10.0,0.0,8.5,5.5,86.1,0.31,0.0,0.31,16.2,5.5
David Johnson,ARI,RB,27,16,16,0.0,0.0,0.0,16.1,58.8,3.64,0.44,4.75,3.13,27.9,0.19,0.13,0.63,15.4,3.81
Joe Mixon,CIN,RB,22,14,13,0.0,0.0,0.0,16.9,83.4,4.93,0.57,3.93,3.07,21.1,0.07,0.0,0.64,17.4,4.64
Brandin Cooks,LAR,WR,25,16,16,0.0,0.0,0.0,0.63,4.25,6.8,0.06,7.31,5.0,75.3,0.31,0.0,0.38,15.2,2.94
Baker Mayfield,CLE,QB,23,14,13,266.1,1.93,1.0,2.79,9.36,3.36,0.0,0.07,0.0,0.0,0.0,0.21,0.0,17.1,
Eli Manning,NYG,QB,37,16,16,268.7,1.31,0.69,0.94,1.25,1.33,0.06,0.0,0.0,0.0,0.0,0.25,0.06,15.0,
T.Y. Hilton,IND,WR,29,14,14,0.0,0.0,0.0,0.0,0.0,,0.0,8.57,5.43,90.7,0.43,0.0,0.43,17.1,3.36
Tarik Cohen,CHI,RB,23,16,7,0.06,0.06,0.0,6.19,27.8,4.48,0.19,5.69,4.44,45.3,0.31,0.19,0.5,14.6,1.69
Odell Beckham Jr.,NYG,WR,26,12,12,8.83,0.17,0.0,0.42,1.58,3.8,0.0,10.3,6.42,87.7,0.5,0.08,0.5,19.2,3.08
Kareem Hunt,KAN,RB,23,11,11,0.0,0.0,0.0,16.5,74.9,4.55,0.64,3.18,2.36,34.4,0.64,0.0,1.27,20.9,6.27
Phillip Lindsay,DEN,RB,24,15,8,0.0,0.0,0.0,12.8,69.1,5.4,0.6,3.13,2.33,16.1,0.07,0.0,0.67,14.9,3.47
Tyler Lockett,SEA,WR,26,16,14,0.0,0.0,0.0,0.81,4.31,5.31,0.0,4.38,3.56,60.3,0.63,0.0,0.63,13.9,3.06
Eric Ebron,IND,TE,25,16,8,0.0,0.0,0.0,0.19,-0.5,-2.67,0.06,6.88,4.13,46.9,0.81,0.06,0.88,13.9,4.56
Tyler Boyd,CIN,WR,24,14,14,0.0,0.0,0.0,0.14,0.21,1.5,0.0,7.71,5.43,73.4,0.5,0.0,0.5,15.8,2.07
Jarvis Landry,CLE,WR,26,16,14,3.94,0.0,0.0,0.19,3.75,20.0,0.06,9.31,5.06,61.0,0.25,0.06,0.31,13.6,1.25
Derek Carr,OAK,QB,27,16,16,253.1,1.19,0.63,1.5,2.94,1.96,0.06,0.06,0.06,-0.56,0.0,0.44,0.06,13.6,
Amari Cooper,2TM,WR,24,15,15,0.0,0.0,0.0,0.13,1.33,10.0,0.0,7.13,5.0,67.0,0.47,0.13,0.47,14.4,1.6
Case Keenum,DEN,QB,30,16,16,243.1,1.13,0.94,1.63,5.81,3.58,0.13,0.0,0.0,0.0,0.0,0.13,0.13,13.4,
Matthew Stafford,DET,QB,30,16,16,236.1,1.31,0.69,1.56,4.44,2.84,0.0,0.0,0.0,0.0,0.0,0.25,0.0,13.3,
