PLAYER NAME,TEAM,POS,Age,G,GS,PassYds,PassTD,Int,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,RecTD,FL,TD,PPR,VBD
Ricky Seals-Jones,CLE,TE,24,14,3,0.0,0.0,0.0,0.0,0.0,,0.0,1.57,1.0,16.4,0.29,0.07,0.29,4.21,
Kaden Smith,NYG,TE,22,9,6,0.0,0.0,0.0,0.0,0.0,,0.0,4.67,3.44,29.8,0.33,0.0,0.33,8.42,
Nick Boyle,BAL,TE,26,16,15,0.0,0.0,0.0,0.0,0.0,,0.0,2.69,1.94,20.1,0.13,0.0,0.13,4.69,
Jeff Wilson,SFO,RB,24,10,0,0.0,0.0,0.0,2.7,10.5,3.89,0.4,0.5,0.3,3.4,0.1,0.0,0.5,4.69,
David Moore,SEA,WR,24,14,1,0.0,0.0,0.0,0.21,1.79,8.33,0.0,2.43,1.21,21.5,0.14,0.07,0.14,4.26,
Irv Smith Jr.,MIN,TE,21,16,7,0.0,0.0,0.0,0.0,0.0,,0.0,2.94,2.25,19.4,0.13,0.0,0.13,4.94,
Brandon Bolden,NWE,RB,29,15,2,0.0,0.0,0.0,1.0,4.53,4.53,0.2,0.73,0.6,7.4,0.07,0.0,0.27,3.39,
Justice Hill,BAL,RB,22,16,0,0.0,0.0,0.0,3.63,14.1,3.88,0.13,0.94,0.5,4.38,0.0,0.0,0.13,3.09,
Cody Latimer,NYG,WR,27,15,10,0.0,0.0,0.0,0.0,0.0,,0.0,2.8,1.6,20.0,0.13,0.0,0.13,4.4,
Matt Moore,KAN,QB,35,6,2,109.8,0.67,0.0,0.83,-0.17,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05,
Bo Scarbrough,DET,RB,25,6,5,0.0,0.0,0.0,14.8,62.8,4.24,0.17,0.67,0.17,0.83,0.0,0.17,0.17,7.2,
Geronimo Allison,GNB,WR,25,16,6,0.0,0.0,0.0,0.06,0.44,7.0,0.0,3.44,2.13,17.9,0.13,0.06,0.13,4.71,
Josh Hill,NOR,TE,29,16,11,0.0,0.0,0.0,0.0,0.0,,0.0,2.19,1.56,14.1,0.19,0.0,0.19,4.1,
Dion Lewis,TEN,RB,29,16,1,0.0,0.0,0.0,3.38,13.1,3.87,0.0,2.0,1.56,10.3,0.06,0.06,0.06,4.14,
Josh Reynolds,LAR,WR,24,16,2,0.0,0.0,0.0,0.31,1.44,4.6,0.0,2.69,1.31,20.4,0.06,0.0,0.06,3.87,
Damiere Byrd,ARI,WR,26,11,3,0.0,0.0,0.0,0.0,0.0,,0.0,4.18,2.91,32.6,0.09,0.09,0.09,6.54,
Marcus Johnson,IND,WR,25,8,6,0.0,0.0,0.0,0.0,0.0,,0.0,4.13,2.13,34.6,0.25,0.0,0.25,7.09,
Dare Ogunbowale,TAM,RB,25,16,0,0.0,0.0,0.0,0.69,1.06,1.55,0.13,2.88,2.19,17.9,0.0,0.06,0.13,4.71,
Seth Roberts,BAL,WR,28,16,0,0.0,0.0,0.0,0.0,0.0,,0.0,2.19,1.31,16.9,0.13,0.0,0.13,3.76,
Kalen Ballage,MIA,RB,24,12,6,0.0,0.0,0.0,6.17,11.3,1.82,0.25,2.0,1.17,5.25,0.0,0.0,0.25,4.32,
Giovani Bernard,CIN,RB,28,16,2,0.0,0.0,0.0,3.31,10.6,3.21,0.0,2.69,1.88,14.6,0.0,0.06,0.0,4.28,
Miles Boykin,BAL,WR,23,16,11,0.0,0.0,0.0,0.0,0.0,,0.0,1.38,0.81,12.4,0.19,0.0,0.19,3.17,
Nick Foles,JAX,QB,30,4,4,184.0,0.75,0.5,1.0,5.75,5.75,0.0,0.0,0.0,0.0,0.0,0.5,0.0,9.43,
Ryquell Armstead,JAX,RB,23,16,1,0.0,0.0,0.0,2.19,6.75,3.09,0.0,1.5,0.88,9.0,0.13,0.0,0.13,3.2,
Wayne Gallman,NYG,RB,25,10,2,0.0,0.0,0.0,2.9,11.0,3.79,0.2,1.5,1.1,10.2,0.1,0.1,0.3,4.82,
Kelvin Harmon,WAS,WR,23,16,8,0.69,0.0,0.0,0.0,0.0,,0.0,2.75,1.88,22.8,0.0,0.0,0.0,4.18,
Paul Richardson,WAS,WR,27,10,6,0.0,0.0,0.0,0.1,0.0,0.0,0.0,4.2,2.8,24.5,0.2,0.0,0.2,6.45,
DaeSean Hamilton,DEN,WR,24,16,2,0.0,0.0,0.0,0.0,0.0,,0.0,3.25,1.75,18.6,0.06,0.0,0.06,3.98,
Ty Johnson,DET,RB,22,16,1,0.0,0.0,0.0,3.94,17.1,4.33,0.0,1.94,1.5,6.81,0.0,0.06,0.0,3.76,
Isaiah McKenzie,BUF,WR,24,15,8,0.0,0.0,0.0,0.53,3.27,6.13,0.0,2.6,1.8,16.9,0.07,0.0,0.07,4.22,
Jakobi Meyers,NWE,WR,23,15,1,0.0,0.0,0.0,0.0,0.0,,0.0,2.73,1.73,23.9,0.0,0.0,0.0,4.13,
C.J. Uzomah,CIN,TE,26,16,16,0.0,0.0,0.0,0.0,0.0,,0.0,2.5,1.69,15.1,0.13,0.0,0.13,3.95,
Demetrius Harris,CLE,TE,28,15,6,0.0,0.0,0.0,0.0,0.0,,0.0,1.8,1.0,9.93,0.2,0.0,0.2,3.33,
Jonathan Williams,IND,RB,25,9,1,0.0,0.0,0.0,5.44,26.1,4.8,0.11,0.56,0.56,6.56,0.0,0.0,0.11,4.49,
Tavon Austin,DAL,WR,29,14,0,0.0,0.0,0.0,0.43,3.36,7.83,0.07,1.71,0.93,12.6,0.07,0.0,0.14,3.39,
Delanie Walker,TEN,TE,35,7,4,0.0,0.0,0.0,0.0,0.0,,0.0,4.43,3.0,30.7,0.29,0.0,0.29,7.79,
Brandon Allen,DEN,QB,27,3,3,171.7,1.0,0.67,3.33,13.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,
Marvin Hall,DET,WR,26,9,0,0.0,0.0,0.0,0.11,0.78,7.0,0.0,1.22,0.78,29.0,0.11,0.0,0.11,4.42,
Matt Schaub,ATL,QB,38,6,1,96.7,0.5,0.17,0.5,-0.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,5.48,
Jaron Brown,SEA,WR,29,14,4,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,1.14,15.7,0.14,0.07,0.14,3.43,
Vyncint Smith,NYJ,WR,23,13,4,0.0,0.0,0.0,0.23,4.0,17.33,0.08,2.38,1.31,17.3,0.0,0.08,0.08,3.75,
Greg Ward,PHI,WR,24,7,3,0.0,0.0,0.0,0.14,0.71,5.0,0.0,5.71,4.0,36.3,0.14,0.0,0.14,8.56,
Pharoh Cooper,2TM,WR,24,13,1,0.0,0.0,0.0,0.08,0.15,2.0,0.0,2.54,1.92,18.7,0.08,0.0,0.08,4.27,
Keke Coutee,HOU,WR,22,9,4,0.0,0.0,0.0,0.22,1.56,7.0,0.11,4.0,2.44,28.2,0.0,0.11,0.11,5.87,
Kyle Juszczyk,SFO,RB,28,12,12,0.0,0.0,0.0,0.25,0.58,2.33,0.0,2.0,1.67,19.9,0.08,0.0,0.08,4.22,
Malik Turner,SEA,WR,23,15,3,0.0,0.0,0.0,0.0,0.0,,0.0,1.47,1.0,16.3,0.07,0.0,0.07,3.03,
Charles Clay,ARI,TE,30,15,10,0.0,0.0,0.0,0.0,0.0,,0.0,1.6,1.2,15.8,0.07,0.0,0.07,3.18,
Qadree Ollison,ATL,RB,23,8,0,0.0,0.0,0.0,2.75,6.25,2.27,0.5,0.25,0.13,0.88,0.0,0.0,0.5,3.84,
Chester Rogers,IND,WR,25,12,6,0.0,0.0,0.0,0.08,1.5,18.0,0.0,2.33,1.33,14.9,0.17,0.08,0.17,3.81,
Jeremy Sprinkle,WAS,TE,25,16,13,0.0,0.0,0.0,0.0,0.0,,0.0,2.5,1.63,15.1,0.06,0.0,0.06,3.51,
Jarius Wright,CAR,WR,30,16,9,0.0,0.0,0.0,0.06,-0.44,-7.0,0.0,3.63,1.75,18.5,0.0,0.0,0.0,3.56,
DeSean Jackson,PHI,WR,33,3,3,0.0,0.0,0.0,0.0,0.0,,0.0,3.33,3.0,53.0,0.67,0.0,0.67,12.3,
Jake Kumerow,GNB,WR,27,14,4,0.0,0.0,0.0,0.0,0.0,,0.0,1.5,0.86,15.6,0.07,0.0,0.07,2.85,
Scott Miller,TAM,WR,22,10,2,0.0,0.0,0.0,0.2,1.6,8.0,0.0,2.6,1.3,20.0,0.1,0.0,0.1,4.06,
Justin Watson,TAM,WR,23,16,2,0.0,0.0,0.0,0.0,0.0,,0.0,1.63,0.94,9.94,0.13,0.0,0.13,2.68,
Jakeem Grant,MIA,WR,27,10,2,0.0,0.0,0.0,0.4,0.5,1.25,0.1,3.3,1.9,16.4,0.0,0.1,0.2,4.59,
