PLAYER NAME,TEAM,POS,Age,G,GS,PassYds,PassTD,Int,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,RecTD,FL,TD,PPR,VBD
Jonathan Taylor,IND,RB,22,17,17,0.0,0.0,0.0,19.5,106.5,5.45,1.06,3.0,2.35,21.2,0.12,0.12,1.18,21.9,10.4
Cooper Kupp,LAR,WR,28,17,17,0.0,0.0,0.0,0.24,1.06,4.5,0.0,11.2,8.53,114.5,0.94,0.0,0.94,25.9,9.59
Deebo Samuel,SFO,WR,25,16,15,1.5,0.06,0.0,3.69,22.8,6.19,0.5,7.56,4.81,87.8,0.38,0.13,0.88,21.2,8.25
Josh Allen,BUF,QB,25,17,17,259.2,2.12,0.88,7.18,44.9,6.25,0.35,0.0,0.0,0.0,0.0,0.18,0.35,23.7,7.41
Austin Ekeler,LAC,RB,26,16,16,0.0,0.0,0.0,12.9,56.9,4.42,0.75,5.88,4.38,40.4,0.5,0.19,1.25,21.5,7.5
Justin Herbert,LAC,QB,23,17,17,294.9,2.24,0.88,3.71,17.8,4.79,0.18,0.0,0.0,0.0,0.0,0.06,0.18,22.4,6.24
Tom Brady,TAM,QB,44,17,17,312.7,2.53,0.71,1.65,4.76,2.89,0.12,0.0,0.0,0.0,0.0,0.18,0.12,22.0,5.88
Mark Andrews,BAL,TE,26,17,9,0.0,0.0,0.0,0.06,0.0,0.0,0.0,9.0,6.29,80.1,0.53,0.0,0.53,17.7,5.65
Ja'Marr Chase,CIN,WR,21,17,17,0.0,0.0,0.0,0.41,1.24,3.0,0.0,7.53,4.76,85.6,0.76,0.06,0.76,17.9,5.65
Justin Jefferson,MIN,WR,22,17,17,2.06,0.0,0.0,0.35,0.82,2.33,0.0,9.82,6.35,95.1,0.59,0.06,0.59,19.4,5.59
Joe Mixon,CIN,RB,25,16,16,0.0,0.0,0.0,18.3,75.3,4.13,0.81,3.0,2.63,19.6,0.19,0.06,1.0,18.0,5.88
Davante Adams,GNB,WR,29,16,16,0.0,0.0,0.0,0.0,0.0,,0.0,10.6,7.69,97.1,0.69,0.0,0.69,21.5,5.88
Patrick Mahomes,KAN,QB,26,17,17,284.6,2.18,0.76,3.88,22.4,5.77,0.12,0.0,0.0,0.0,0.0,0.24,0.12,21.3,5.18
Najee Harris,PIT,RB,23,17,17,0.0,0.0,0.0,18.1,70.6,3.91,0.41,5.53,4.35,27.5,0.18,0.0,0.59,17.7,4.47
Travis Kelce,KAN,TE,32,16,16,0.0,0.0,0.0,0.13,0.19,1.5,0.06,8.38,5.75,70.3,0.56,0.06,0.63,16.4,4.63
James Conner,ARI,RB,26,15,6,0.0,0.0,0.0,13.5,50.1,3.72,1.0,2.6,2.47,25.0,0.2,0.0,1.2,17.2,4.67
Mike Evans,TAM,WR,28,16,16,0.0,0.0,0.0,0.06,0.63,10.0,0.0,7.13,4.63,64.7,0.88,0.0,0.88,16.4,3.94
Aaron Rodgers,GNB,QB,38,16,16,257.2,2.31,0.25,2.06,6.31,3.06,0.19,0.06,0.06,-0.25,0.0,0.0,0.19,20.8,3.75
Tyreek Hill,KAN,WR,27,17,16,0.0,0.0,0.0,0.53,5.65,10.67,0.0,9.35,6.53,72.9,0.53,0.06,0.53,17.4,3.53
Matthew Stafford,LAR,QB,33,17,17,287.4,2.41,1.0,1.88,2.53,1.34,0.0,0.0,0.0,0.0,0.0,0.12,0.0,19.4,3.41
Stefon Diggs,BUF,WR,28,17,17,0.0,0.0,0.0,0.0,0.0,,0.0,9.65,6.06,72.1,0.59,0.0,0.59,16.8,3.35
Ezekiel Elliott,DAL,RB,26,17,17,0.24,0.0,0.0,13.9,58.9,4.23,0.59,3.82,2.76,16.9,0.12,0.06,0.71,14.8,3.29
Dak Prescott,DAL,QB,28,16,16,278.1,2.31,0.63,3.0,9.13,3.04,0.06,0.0,0.0,0.0,0.0,0.38,0.06,20.0,3.06
Nick Chubb,CLE,RB,26,14,14,0.0,0.0,0.0,16.3,89.9,5.52,0.57,1.79,1.43,12.4,0.07,0.07,0.64,15.4,3.29
Mike Williams,LAC,WR,27,16,14,0.0,0.0,0.0,0.0,0.0,,0.0,8.06,4.75,71.6,0.56,0.0,0.56,15.4,2.88
D.K. Metcalf,SEA,WR,24,17,17,0.0,0.0,0.0,0.06,0.35,6.0,0.0,7.59,4.41,56.9,0.71,0.0,0.71,14.4,2.65
Tyler Lockett,SEA,WR,29,16,16,0.0,0.0,0.0,0.13,0.56,4.5,0.0,6.69,4.56,73.4,0.5,0.0,0.5,15.1,2.75
Damien Harris,NWE,RB,24,15,15,0.0,0.0,0.0,13.5,61.9,4.6,1.0,1.4,1.2,8.8,0.0,0.13,1.0,14.0,2.87
Joe Burrow,CIN,QB,25,16,16,288.2,2.13,0.88,2.5,7.38,2.95,0.13,0.0,0.0,0.0,0.0,0.13,0.13,19.6,2.69
Diontae Johnson,PIT,WR,25,16,14,0.0,0.0,0.0,0.31,3.31,10.6,0.0,10.6,6.69,72.6,0.5,0.13,0.5,17.1,2.69
Jalen Hurts,PHI,QB,23,15,15,209.6,1.07,0.6,9.27,52.3,5.64,0.67,0.07,0.0,0.0,0.0,0.13,0.67,20.8,2.73
Alvin Kamara,NOR,RB,26,13,10,0.0,0.0,0.0,18.5,69.1,3.74,0.31,5.15,3.62,33.8,0.38,0.0,0.69,18.1,3.0
Antonio Gibson,WAS,RB,23,16,14,0.0,0.0,0.0,16.1,64.8,4.02,0.44,3.25,2.63,18.4,0.19,0.25,0.63,14.3,2.44
Leonard Fournette,TAM,RB,26,14,13,0.0,0.0,0.0,12.9,58.0,4.51,0.57,6.0,4.93,32.4,0.14,0.0,0.71,18.3,2.71
Dalton Schultz,DAL,TE,25,17,15,0.0,0.0,0.0,0.0,0.0,,0.0,6.12,4.59,47.5,0.47,0.0,0.47,12.3,2.18
Cordarrelle Patterson,ATL,RB,30,16,13,0.0,0.0,0.0,9.56,38.6,4.04,0.38,4.31,3.25,34.3,0.31,0.0,0.69,14.7,2.13
George Kittle,SFO,TE,28,14,14,0.0,0.0,0.0,0.21,1.43,6.67,0.0,6.71,5.07,65.0,0.43,0.07,0.43,14.1,2.36
Hunter Renfrow,LVR,WR,26,17,9,0.0,0.0,0.0,0.18,0.18,1.0,0.0,7.53,6.06,61.1,0.53,0.06,0.53,15.2,1.88
CeeDee Lamb,DAL,WR,22,16,13,0.0,0.0,0.0,0.56,4.75,8.44,0.0,7.5,4.94,68.9,0.38,0.0,0.38,14.6,1.88
Kyler Murray,ARI,QB,24,14,14,270.5,1.71,0.71,6.29,30.2,4.81,0.36,0.0,0.0,0.5,0.0,0.0,0.36,21.5,2.14
Kirk Cousins,MIN,QB,33,16,16,263.8,2.06,0.44,1.81,7.19,3.97,0.06,0.0,0.0,0.0,0.0,0.13,0.06,18.8,1.88
Aaron Jones,GNB,RB,27,15,15,0.0,0.0,0.0,11.4,53.3,4.67,0.27,4.33,3.47,26.1,0.4,0.07,0.67,15.3,1.93
Keenan Allen,LAC,WR,29,16,16,0.0,0.0,0.0,0.0,0.0,,0.0,9.81,6.63,71.1,0.38,0.0,0.38,16.1,1.75
Derrick Henry,TEN,RB,27,8,8,0.63,0.13,0.0,27.4,117.1,4.28,1.25,2.5,2.25,19.3,0.0,0.0,1.25,24.2,3.5
Michael Pittman Jr.,IND,WR,24,17,17,0.0,0.0,0.0,0.29,2.59,8.8,0.0,7.59,5.18,63.6,0.35,0.0,0.35,14.0,1.59
Dalvin Cook,MIN,RB,26,13,13,0.0,0.0,0.0,19.2,89.2,4.65,0.46,3.77,2.62,17.2,0.0,0.15,0.46,15.9,1.92
Josh Jacobs,LVR,RB,23,15,14,0.0,0.0,0.0,14.5,58.1,4.02,0.6,4.27,3.6,23.2,0.0,0.13,0.6,15.1,1.6
Rob Gronkowski,TAM,TE,32,12,12,0.0,0.0,0.0,0.0,0.0,,0.0,7.42,4.58,66.8,0.5,0.0,0.5,14.3,1.92
Tee Higgins,CIN,WR,22,14,14,0.0,0.0,0.0,0.0,0.0,,0.0,7.86,5.29,77.9,0.43,0.07,0.43,15.7,1.57
Dawson Knox,BUF,TE,25,15,14,0.0,0.0,0.0,0.0,0.27,,0.0,4.73,3.27,39.1,0.6,0.0,0.6,10.9,1.47
D.J. Moore,CAR,WR,24,17,17,0.0,0.0,0.0,0.47,2.82,6.0,0.0,9.59,5.47,68.1,0.24,0.06,0.24,14.0,1.29
Chris Godwin,TAM,WR,25,14,14,0.0,0.0,0.0,0.29,1.5,5.25,0.07,9.07,7.0,78.8,0.36,0.14,0.43,17.3,1.5
Hunter Henry,NWE,TE,27,17,10,0.0,0.0,0.0,0.0,0.0,,0.0,4.41,2.94,35.5,0.53,0.0,0.53,9.66,1.24
Melvin Gordon,DEN,RB,28,16,16,0.0,0.0,0.0,12.7,57.4,4.52,0.5,2.38,1.75,13.3,0.13,0.19,0.63,12.2,1.25
Jaylen Waddle,MIA,WR,23,16,16,0.0,0.0,0.0,0.13,0.19,1.5,0.06,8.75,6.5,63.4,0.38,0.06,0.44,15.4,1.19
Brandin Cooks,HOU,WR,28,16,16,0.0,0.0,0.0,0.13,1.31,10.5,0.0,8.38,5.63,64.8,0.38,0.0,0.38,14.5,1.19
Dallas Goedert,PHI,TE,26,15,14,0.0,0.0,0.0,0.0,0.0,,0.0,5.07,3.73,55.3,0.27,0.0,0.27,11.0,1.07
Darnell Mooney,CHI,WR,24,17,14,0.0,0.0,0.0,0.35,1.88,5.33,0.06,8.24,4.76,62.1,0.24,0.0,0.29,12.9,0.94
Kyle Pitts,ATL,TE,21,17,15,0.0,0.0,0.0,0.0,0.0,,0.0,6.47,4.0,60.4,0.06,0.0,0.06,10.4,0.94
Javonte Williams,DEN,RB,21,17,1,0.0,0.0,0.0,11.9,53.1,4.45,0.24,3.12,2.53,18.6,0.18,0.06,0.41,12.1,0.88
Amon-Ra St. Brown,DET,WR,22,17,9,0.0,0.0,0.0,0.41,3.59,8.71,0.06,7.0,5.29,53.6,0.29,0.0,0.35,13.4,0.88
Zach Ertz,2TM,TE,31,17,14,0.0,0.0,0.0,0.06,0.24,4.0,0.0,6.59,4.35,44.9,0.29,0.0,0.29,10.6,0.82
Terry McLaurin,WAS,WR,26,17,17,0.0,0.0,0.0,0.06,0.71,12.0,0.0,7.65,4.53,61.9,0.29,0.0,0.29,12.6,0.82
Marquise Brown,BAL,WR,24,16,16,0.0,0.0,0.0,0.06,0.31,5.0,0.0,9.13,5.69,63.0,0.38,0.06,0.38,14.1,0.81
Amari Cooper,DAL,WR,27,15,14,0.0,0.0,0.0,0.0,0.0,,0.0,6.93,4.53,57.7,0.53,0.0,0.53,13.5,0.8
Devin Singletary,BUF,RB,24,17,16,0.0,0.0,0.0,11.1,51.2,4.63,0.41,2.94,2.35,13.4,0.06,0.0,0.47,11.6,0.65
Adam Thielen,MIN,WR,31,13,13,0.0,0.0,0.0,0.08,0.15,2.0,0.0,7.31,5.15,55.8,0.77,0.0,0.77,15.4,0.85
Christian Kirk,ARI,WR,25,17,11,1.94,0.0,0.0,0.06,0.65,11.0,0.0,6.06,4.53,57.8,0.29,0.0,0.29,12.2,0.47
David Montgomery,CHI,RB,24,13,13,0.0,0.0,0.08,17.3,65.3,3.77,0.54,3.92,3.23,23.2,0.0,0.08,0.54,15.0,0.54
AJ Dillon,GNB,RB,23,17,2,0.0,0.0,0.0,11.0,47.2,4.29,0.29,2.18,2.0,18.4,0.12,0.06,0.41,10.9,0.29
Kendrick Bourne,NWE,WR,26,17,5,1.47,0.06,0.0,0.71,7.35,10.42,0.0,4.12,3.24,47.1,0.29,0.06,0.29,10.6,0.24
Darrel Williams,KAN,RB,26,17,7,0.0,0.0,0.0,8.47,32.8,3.88,0.35,3.35,2.76,26.6,0.12,0.0,0.47,11.5,0.18
D'Andre Swift,DET,RB,22,13,4,0.0,0.0,0.0,11.6,47.5,4.09,0.38,6.0,4.77,34.8,0.15,0.08,0.54,16.1,0.08
Mike Gesicki,MIA,TE,26,17,9,0.0,0.0,0.0,0.0,0.0,,0.0,6.59,4.29,45.9,0.12,0.0,0.12,9.71,
Nick Ralston,DAL,,25,4,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Elijah Mitchell,SFO,RB,23,11,10,0.0,0.0,0.0,18.8,87.5,4.65,0.45,1.82,1.73,12.5,0.09,0.0,0.55,15.0,
Tory Carter,TEN,,22,8,2,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
