PLAYER NAME,TEAM,POS,Age,G,GS,PassYds,PassTD,Int,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,RecTD,FL,TD,PPR,VBD
Patrick Mahomes,KAN,QB,27,17,17,308.8,2.41,0.71,3.59,21.1,5.87,0.24,0.06,0.06,0.35,0.0,0.0,0.24,24.6,8.0
Josh Jacobs,LVR,RB,24,17,17,0.0,0.0,0.0,20.0,97.2,4.86,0.71,3.76,3.12,23.5,0.0,0.06,0.71,19.3,7.47
Christian McCaffrey,2TM,RB,26,17,16,2.0,0.06,0.0,14.4,67.0,4.67,0.47,6.35,5.0,43.6,0.29,0.0,0.76,21.0,7.24
Derrick Henry,TEN,RB,28,16,16,0.25,0.06,0.0,21.8,96.1,4.41,0.81,2.56,2.06,24.9,0.0,0.19,0.81,18.9,7.63
Justin Jefferson,MIN,WR,23,17,17,2.0,0.0,0.0,0.24,1.41,6.0,0.06,10.8,7.53,106.4,0.47,0.0,0.53,21.7,7.0
Austin Ekeler,LAC,RB,27,17,17,0.0,0.0,0.0,12.0,53.8,4.49,0.76,7.47,6.29,42.5,0.29,0.18,1.06,21.9,6.94
Josh Allen,BUF,QB,26,16,16,267.7,2.19,0.88,7.75,47.6,6.15,0.44,0.0,0.0,0.0,0.0,0.31,0.44,24.7,7.31
Travis Kelce,KAN,TE,33,17,17,0.0,0.0,0.0,0.12,0.29,2.5,0.0,8.94,6.47,78.7,0.71,0.06,0.71,18.6,6.71
Davante Adams,LVR,WR,30,17,17,0.0,0.0,0.0,0.18,-0.06,-0.33,0.0,10.6,5.88,89.2,0.82,0.0,0.82,19.7,6.71
Nick Chubb,CLE,RB,27,17,17,0.0,0.0,0.0,17.8,89.7,5.05,0.71,2.18,1.59,14.1,0.06,0.06,0.76,16.6,6.29
Tyreek Hill,MIA,WR,28,17,17,0.0,0.0,0.0,0.41,1.88,4.57,0.06,10.0,7.0,100.6,0.41,0.0,0.53,20.4,6.29
Jalen Hurts,PHI,QB,24,15,15,246.7,1.47,0.4,11.0,50.7,4.61,0.87,0.0,0.0,0.0,0.0,0.13,0.87,25.2,6.67
A.J. Brown,PHI,WR,25,17,16,0.0,0.0,0.0,0.0,0.0,,0.0,8.53,5.18,88.0,0.65,0.12,0.65,17.6,5.35
Stefon Diggs,BUF,WR,29,16,16,0.0,0.0,0.0,0.06,-0.19,-3.0,0.0,9.63,6.75,89.3,0.69,0.0,0.69,19.8,5.56
Saquon Barkley,NYG,RB,25,16,16,0.0,0.0,0.0,18.4,82.0,4.45,0.63,4.75,3.56,21.1,0.0,0.0,0.63,17.8,5.13
CeeDee Lamb,DAL,WR,23,17,17,0.0,0.0,0.0,0.59,2.76,4.7,0.0,9.18,6.29,79.9,0.53,0.0,0.53,17.7,4.41
Joe Burrow,CIN,QB,26,16,16,279.7,2.19,0.75,4.69,16.1,3.43,0.31,0.0,0.0,0.0,0.0,0.19,0.31,21.9,4.63
Jamaal Williams,DET,RB,27,17,9,0.0,0.0,0.0,15.4,62.7,4.07,1.0,0.94,0.71,4.29,0.0,0.12,1.0,13.3,4.06
Jaylen Waddle,MIA,WR,24,17,17,0.0,0.0,0.0,0.18,1.53,8.67,0.0,6.88,4.41,79.8,0.47,0.06,0.47,15.2,3.88
Tony Pollard,DAL,RB,25,16,4,0.0,0.0,0.0,12.1,62.9,5.22,0.56,3.44,2.44,23.2,0.19,0.0,0.75,15.6,4.06
Dalvin Cook,MIN,RB,27,17,17,0.0,0.0,0.0,15.5,69.0,4.44,0.47,3.29,2.29,17.4,0.12,0.24,0.59,14.0,3.24
Miles Sanders,PHI,RB,25,17,15,0.0,0.0,0.0,15.2,74.6,4.9,0.65,1.53,1.18,4.59,0.0,0.12,0.65,12.7,3.12
George Kittle,SFO,TE,29,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,5.73,4.0,51.0,0.73,0.07,0.73,13.4,3.47
Amari Cooper,CLE,WR,28,17,17,0.0,0.0,0.06,0.0,0.0,,0.0,7.76,4.59,68.2,0.53,0.0,0.53,14.5,2.94
Taysom Hill,NOR,TE,32,16,8,15.0,0.13,0.0,6.0,35.9,5.99,0.44,0.81,0.56,4.81,0.13,0.0,0.56,9.11,3.06
Aaron Jones,GNB,RB,28,17,17,0.0,0.0,0.0,12.5,65.9,5.26,0.12,4.24,3.47,23.2,0.29,0.18,0.41,14.6,2.71
Amon-Ra St. Brown,DET,WR,23,16,16,0.0,0.0,0.0,0.56,5.94,10.56,0.0,9.13,6.63,72.6,0.38,0.0,0.38,16.7,2.75
DeVonta Smith,PHI,WR,24,17,17,0.0,0.0,0.0,0.0,0.0,,0.0,8.0,5.59,70.4,0.41,0.06,0.41,15.0,2.47
T.J. Hockenson,2TM,TE,25,17,14,0.0,0.0,0.0,0.0,0.0,,0.0,7.59,5.06,53.8,0.35,0.06,0.35,12.7,2.47
Christian Kirk,JAX,WR,26,17,17,0.0,0.0,0.0,0.29,0.65,2.2,0.0,7.82,4.94,65.2,0.47,0.06,0.47,14.2,2.41
Najee Harris,PIT,RB,24,17,17,0.24,0.0,0.0,16.0,60.8,3.8,0.41,3.12,2.41,13.5,0.18,0.12,0.59,13.1,2.35
Ja'Marr Chase,CIN,WR,22,12,12,0.0,0.0,0.0,0.42,0.67,1.6,0.0,11.2,7.25,87.2,0.75,0.17,0.75,20.2,3.17
Rhamondre Stevenson,NWE,RB,24,17,7,0.0,0.0,0.0,12.4,61.2,4.95,0.29,5.18,4.06,24.8,0.06,0.06,0.35,14.7,2.18
Joe Mixon,CIN,RB,26,14,14,0.0,0.0,0.0,15.0,58.1,3.88,0.5,5.36,4.29,31.5,0.14,0.0,0.64,17.1,2.64
Tyler Lockett,SEA,WR,30,16,16,0.0,0.0,0.0,0.0,0.0,,0.0,7.31,5.25,64.6,0.56,0.13,0.56,14.8,2.31
Terry McLaurin,WAS,WR,27,17,17,0.0,0.0,0.0,0.41,1.71,4.14,0.0,7.06,4.53,70.1,0.29,0.0,0.29,13.5,2.06
Brandon Aiyuk,SFO,WR,24,17,17,0.0,0.0,0.0,0.12,1.35,11.5,0.0,6.71,4.59,59.7,0.47,0.06,0.47,13.4,1.94
Kenneth Walker III,SEA,RB,22,15,11,0.0,0.0,0.0,15.2,70.0,4.61,0.6,2.33,1.8,11.0,0.0,0.0,0.6,13.5,2.2
Mike Evans,TAM,WR,29,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,8.47,5.13,74.9,0.4,0.0,0.4,15.0,2.13
Tee Higgins,CIN,WR,23,16,14,0.0,0.0,0.0,0.0,0.0,,0.0,6.81,4.63,64.3,0.44,0.0,0.44,13.8,1.88
Mark Andrews,BAL,TE,27,15,15,0.0,0.0,0.0,0.2,0.53,2.67,0.0,7.53,4.87,56.5,0.33,0.0,0.33,12.7,2.0
Geno Smith,SEA,QB,32,17,17,251.9,1.76,0.65,4.0,21.5,5.38,0.06,0.0,0.0,0.0,0.0,0.24,0.06,17.9,1.76
Travis Etienne,JAX,RB,23,17,12,0.0,0.0,0.0,12.9,66.2,5.11,0.29,2.65,2.06,18.6,0.0,0.18,0.29,12.1,1.65
Ezekiel Elliott,DAL,RB,27,15,14,0.0,0.0,0.0,15.4,58.4,3.79,0.8,1.53,1.13,6.13,0.0,0.0,0.8,12.4,1.8
Justin Fields,CHI,QB,23,15,15,149.5,1.13,0.73,10.7,76.2,7.14,0.53,0.0,0.0,0.0,0.0,0.13,0.53,19.7,1.53
Trevor Lawrence,JAX,QB,23,17,17,241.9,1.47,0.47,3.65,17.1,4.69,0.29,0.0,0.0,0.0,0.0,0.53,0.29,17.4,1.35
Jerry Jeudy,DEN,WR,23,15,14,0.0,0.0,0.0,0.27,2.67,10.0,0.0,6.67,4.47,64.8,0.4,0.0,0.4,13.6,1.4
D.K. Metcalf,SEA,WR,25,17,17,0.0,0.0,0.0,0.0,0.0,,0.0,8.29,5.29,61.6,0.35,0.12,0.35,13.3,1.24
D.J. Moore,CAR,WR,25,17,17,0.0,0.0,0.0,0.59,3.12,5.3,0.0,6.94,3.71,52.2,0.41,0.0,0.41,11.7,1.18
Kirk Cousins,MIN,QB,34,17,17,267.5,1.71,0.82,1.82,5.71,3.13,0.12,0.0,0.0,0.0,0.0,0.18,0.12,17.2,1.12
Evan Engram,JAX,TE,28,17,14,0.0,0.0,0.0,0.12,0.76,6.5,0.0,5.76,4.29,45.1,0.24,0.0,0.24,10.4,1.06
Garrett Wilson,NYJ,WR,22,17,12,0.0,0.0,0.0,0.24,0.24,1.0,0.0,8.65,4.88,64.9,0.24,0.06,0.24,12.7,1.0
Daniel Jones,NYG,QB,25,16,16,200.3,0.94,0.31,7.5,44.3,5.9,0.44,0.0,0.0,0.0,0.0,0.19,0.44,18.1,1.0
Alvin Kamara,NOR,RB,27,15,13,0.0,0.0,0.0,14.9,59.8,4.02,0.13,5.13,3.8,32.7,0.13,0.27,0.27,14.1,0.93
James Conner,ARI,RB,27,13,13,0.0,0.0,0.0,14.1,60.2,4.27,0.54,4.46,3.54,23.1,0.08,0.08,0.62,15.4,1.0
Leonard Fournette,TAM,RB,27,16,9,0.0,0.0,0.06,11.8,41.8,3.53,0.19,5.19,4.56,32.7,0.19,0.0,0.38,14.1,0.75
Cole Kmet,CHI,TE,23,17,17,0.0,0.0,0.0,0.12,0.53,4.5,0.0,4.06,2.94,32.0,0.41,0.0,0.41,8.66,0.65
Cooper Kupp,LAR,WR,29,9,9,0.0,0.0,0.0,1.0,5.78,5.78,0.11,10.9,8.33,90.2,0.67,0.11,0.78,22.4,1.22
Chris Olave,NOR,WR,22,15,9,0.0,0.0,0.0,0.0,0.0,,0.0,7.93,4.8,69.5,0.27,0.13,0.27,13.2,0.73
Jared Goff,DET,QB,28,17,17,261.1,1.71,0.41,1.71,4.29,2.52,0.0,0.06,0.06,0.29,0.0,0.24,0.0,16.7,0.65
